ArchPal Diagram ID, ArchPal Text ID, Heiberg Text ID
"ArchPal_trace084:circle(Μ)","","circle(Μ)"
"ArchPal_trace084:circle(Ξ)","","circle(Ξ)"
"ArchPal_trace084:polygon(Η,Θ)","","polygon(Ε,Ζ,Η,Θ,Λ)"
"ArchPal_trace084:circle(Α,Γ,Δ,Κ)","","circle(Α,Β,Γ,Δ,Κ)"
"ArchPal_trace084:polygon(Α,Γ,Δ,Κ)","","polygon(Α,Β,Γ,Δ,Κ)"
"ArchPal_trace084:line(Α,Γ,Η)","","line(Α,Γ,Ε,Η)"
"ArchPal_trace084:line(Δ,Θ)","","line(Β,Δ,Ζ,Θ)"
"ArchPal_trace084:circle(Ν)","","circle(Ν)"
"ArchPal_trace084:circle(Ο)","","circle(Ο)"
"ArchPal_trace085:circle(Α)","","circle(Α)"
"ArchPal_trace085:polygon(Ε,Ζ,Η)","","polygon(null0)"
"ArchPal_trace085:polygon(null1)","","polygon(null1)"
"ArchPal_trace085:circle(Ε,Ζ,Η)","","circle(Ε,Ζ,Η,Θ)"
"ArchPal_trace085:line(Ζ)","","line(Ζ,Θ)"
"ArchPal_trace085:line(Ε,Η)","","line(Ε,Η)"
"ArchPal_trace085:line(Β)","","line(Β)"
"ArchPal_trace085:line(Δ)","","line(Δ)"
"ArchPal_trace085:line(Γ)","","line(Γ)"
"ArchPal_trace086:circle(Λ)","","circle(Λ)"
"ArchPal_trace086:circle(null0)","","circle(Ν)"
"ArchPal_trace086:circle(Α,Γ,Δ,Ε,Ζ,Η,Θ)","","circle(Α,Γ,Δ,Ε,Ζ,Η,Θ)"
"ArchPal_trace086:polygon(Α,Γ,Δ,Ε,Ζ,Η,Θ)","","polygon(Α,Γ,Δ,Ε,Ζ,Η,Θ)"
"ArchPal_trace086:circle(Μ)","","circle(Μ)"
"ArchPal_trace086:circle(Ξ)","","circle(Ξ)"
"ArchPal_trace086:line(Θ,Κ)","","line(null1)"
"ArchPal_trace086:line(Ε,Ζ)","","line(Ε,Ζ)"
"ArchPal_trace086:line(Γ,Δ)","","line(Γ,Δ)"
"ArchPal_trace086:line(Α,Κ)","","line(Α,Κ)"
"ArchPal_trace086:line(Η,Κ)","","line(Η,Κ)"
"ArchPal_trace087:circle(Α,Β,Γ,Δ,Ε,Ζ)","","circle(Α,Β,Γ,Δ,Ε,Ζ)"
"ArchPal_trace087:line(Δ,Ε)","","line(Δ,Ε)"
"ArchPal_trace087:polygon(Γ,Δ,Ε)","","polygon(Α,Β,Γ,Δ,Ε)"
"ArchPal_trace087:line(Γ,Ζ)","","line(Γ,Ζ)"
"ArchPal_trace087:line(Α,Β)","","line(Α,Β)"
"ArchPal_trace088:circle(Γ,Δ,Ε,Ζ,Θ)","","circle(Α,Β,Γ,Δ,Ε,Ζ,Θ,Λ)"
"ArchPal_trace088:polygon(Γ,Δ,Ε,Ζ,Θ)","","polygon(Α,Β,Γ,Δ,Ε,Ζ,Θ)"
"ArchPal_trace088:line(Ε)","","line(Ε,Λ)"
"ArchPal_trace088:line(Ε,Ζ)","","line(Ε,Ζ)"
"ArchPal_trace088:line(Θ)","","line(Θ,Κ,Λ)"
"ArchPal_trace088:circle(null0)","","circle(Μ)"
"ArchPal_trace089:cone(Κ)","","cone(Κ)"
"ArchPal_trace089:circle(Α,Β,Γ,Δ,Ζ,Η,Θ)","","circle(Α,Β,Γ,Δ,Ζ,Η,Θ,Λ)"
"ArchPal_trace089:polygon(Α,Β,Γ,Δ,Ζ,Η,Θ)","","polygon(Α,Β,Γ,Δ,Ζ,Η,Θ)"
"ArchPal_trace089:cone(Α,Γ,Ε)","","cone(Α,Γ,Ε)"
"ArchPal_trace089:cone(Δ,Ε,Ζ)","","cone(Δ,Ε,Ζ)"
"ArchPal_trace089:cone(Ε,Η,Θ)","","cone(Ε,Η,Θ)"
"ArchPal_trace089:line(Β,Ε)","","line(Α,Β,Ε)"
"ArchPal_trace090:circle(Ε,Ζ,Η,Θ,Λ)","","circle(Ε,Ζ,Η,Θ,Κ,Λ)"
"ArchPal_trace090:circle(Α,Β)","","circle(Α,Β,Γ)"
"ArchPal_trace090:line(Ε)","","line(Γ,Δ,Ε,Κ)"
"ArchPal_trace090:line(Β,Η)","","line(Β,Δ,Η)"
"ArchPal_trace090:line(Α,Ζ)","","line(Α,Δ,Ζ)"
"ArchPal_trace090:polygon(Ε,Ζ,Η,Θ,Λ)","","polygon(Ε,Ζ,Η,Θ,Λ)"
"ArchPal_trace090:line(Ζ,Η)","","line(Ζ,Η)"
"ArchPal_trace090:line(Α,Β)","","line(Α,Β)"
"ArchPal_trace090:line(Β,Ν)","","line(Β,Ν)"
"ArchPal_trace090:line(Α,Μ)","","line(Α,Μ)"
"ArchPal_trace091:","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
