QuireMarkId,Folio,Reading,Image
urn:cite:ap:quiremark.1,urn:cite:ap:bod8.1r,1,"urn:cite:ecod:codbod8.cb-0008_001r@0.4875,0.9385,0.033,0.0255"
urn:cite:ap:quiremark.2,urn:cite:ap:bod8.9r,2,"urn:cite:ecod:codbod8.cb-0008_009r@0.5526,0.9632,0.036,0.0173"
urn:cite:ap:quiremark.3,urn:cite:ap:bod8.17r,3,"urn:cite:ecod:codbod8.cb-0008_017r@0.5746,0.901,0.029,0.0278"
urn:cite:ap:quiremark.4,urn:cite:ap:bod8.25r,4,"urn:cite:ecod:codbod8.cb-0008_025r@0.5345,0.8957,0.026,0.0263"
urn:cite:ap:quiremark.5,urn:cite:ap:bod8.33r,5,"urn:cite:ecod:codbod8.cb-0008_033r@0.4835,0.9115,0.029,0.027"
urn:cite:ap:quiremark.6,urn:cite:ap:bod8.41r,6,"urn:cite:ecod:codbod8.cb-0008_041r@0.5485,0.9235,0.022,0.0225"
urn:cite:ap:quiremark.7,urn:cite:ap:bod8.49r,7,"urn:cite:ecod:codbod8.cb-0008_049r@0.5425,0.922,0.025,0.0278"
urn:cite:ap:quiremark.8,urn:cite:ap:bod8.57r,8,"urn:cite:ecod:codbod8.cb-0008_057r@0.5225,0.9467,0.02,0.0218"
urn:cite:ap:quiremark.9,urn:cite:ap:bod8.65r,9,"urn:cite:ecod:codbod8.cb-0008_065r@0.5556,0.9392,0.038,0.0285"
urn:cite:ap:quiremark.10,urn:cite:ap:bod8.73r,10,"urn:cite:ecod:codbod8.cb-0008_073r@0.5806,0.9677,0.028,0.0233"
urn:cite:ap:quiremark.11,urn:cite:ap:bod8.81r,11,"urn:cite:ecod:codbod8.cb-0008_081r@0.4775,0.9527,0.043,0.0248"
