ObservationId,DiagramUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team#.1,urn:cite:ap:figures.001@α[1],α,"urn:cite:ecod:codbod8.cb-0008_003r@0.4932,0.5401,0.0239,0.0132",alpha
urn:cite:openpal:team#.2,urn:cite:ap:figures.001@β[1],β,"urn:cite:ecod:codbod8.cb-0008_003r@0.4417,0.5533,0.0126,0.0123",beta
urn:cite:openpal:team#.3,urn:cite:ap:figures.001@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_003r@0.3864,0.592,0.0163,0.0113",gamma
urn:cite:openpal:team#.4,urn:cite:ap:figures.001@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_003r@0.3977,0.6336,0.0201,0.0208",delta
urn:cite:openpal:team#.5,urn:cite:ap:figures.001@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_003r@0.4253,0.6798,0.0126,0.0076",epsilon
urn:cite:openpal:team#.6,urn:cite:ap:figures.001@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_003r@0.4944,0.6883,0.0113,0.0151",zeta
urn:cite:openpal:team#.7,urn:cite:ap:figures.001@η[1],η,"urn:cite:ecod:codbod8.cb-0008_003r@0.5698,0.678,0.0138,0.0123",eta
urn:cite:openpal:team#.8,urn:cite:ap:figures.001@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_003r@0.5874,0.6411,0.0163,0.0151",theta
urn:cite:openpal:team#.9,urn:cite:ap:figures.001@κ[1],κ,"urn:cite:ecod:codbod8.cb-0008_003r@0.6038,0.6015,0.0188,0.0104",kappa
urn:cite:openpal:team#.10,urn:cite:ap:figures.001@λ[1],λ,"urn:cite:ecod:codbod8.cb-0008_003r@0.5698,0.5637,0.0151,0.0151",lambda
urn:cite:openpal:team#.11,urn:cite:ap:figures.002@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_003v@0.4384,0.5921,0.0163,0.0151",epsilon
urn:cite:openpal:team#.12,urn:cite:ap:figures.002@η[1],η,"urn:cite:ecod:codbod8.cb-0008_003v@0.4321,0.6591,0.0138,0.0104",eta
urn:cite:openpal:team#.13,urn:cite:ap:figures.002@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_003v@0.4258,0.7204,0.0214,0.0123",zeta
urn:cite:openpal:team#.14,urn:cite:ap:figures.002@α[1],α,"urn:cite:ecod:codbod8.cb-0008_003v@0.4799,0.6176,0.0189,0.0179",alpha (?)
urn:cite:openpal:team#.15,urn:cite:ap:figures.002@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_003v@0.4824,0.6601,0.0163,0.0113",gamma
urn:cite:openpal:team#.16,urn:cite:ap:figures.002@β[1],β,"urn:cite:ecod:codbod8.cb-0008_003v@0.4799,0.7204,0.0163,0.0208",beta
urn:cite:openpal:team#.17,urn:cite:ap:figures.002@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_003v@0.5025,0.5931,0.0189,0.0179",theta
urn:cite:openpal:team#.18,urn:cite:ap:figures.002@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_003v@0.5176,0.6582,0.0201,0.0198",delta
urn:cite:openpal:team#.19,urn:cite:ap:figures.003@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_004v@0.3804,0.3429,0.0188,0.0141",theta
urn:cite:openpal:team#.20,urn:cite:ap:figures.003@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_004v@0.413,0.3533,0.0113,0.0132",gamma
urn:cite:openpal:team#.21,urn:cite:ap:figures.003@κ[1],κ,"urn:cite:ecod:codbod8.cb-0008_004v@0.502,0.3439,0.0163,0.0104",kappa
urn:cite:openpal:team#.22,urn:cite:ap:figures.003@ξ[1],ξ,"urn:cite:ecod:codbod8.cb-0008_004v@0.4255,0.3024,0.0201,0.0264",xi
urn:cite:openpal:team#.23,urn:cite:ap:figures.003@τ[1],τ,"urn:cite:ecod:codbod8.cb-0008_004v@0.4669,0.3241,0.0138,0.0094",tau
urn:cite:openpal:team#.24,urn:cite:ap:figures.003@ν[1],ν,"urn:cite:ecod:codbod8.cb-0008_004v@0.482,0.2948,0.0113,0.0066",nu
urn:cite:openpal:team#.25,urn:cite:ap:figures.003@π[1],π,"urn:cite:ecod:codbod8.cb-0008_004v@0.4694,0.2892,0.0125,0.0094",pi
urn:cite:openpal:team#.26,urn:cite:ap:figures.003@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_004v@0.4933,0.2882,0.0213,0.016",delta
urn:cite:openpal:team#.27,urn:cite:ap:figures.003@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_004v@0.4882,0.4108,0.0176,0.0123",zeta (?)
urn:cite:openpal:team#.28,urn:cite:ap:figures.003@β[1],β,"urn:cite:ecod:codbod8.cb-0008_004v@0.571,0.3495,0.0138,0.0113",beta
urn:cite:openpal:team#.29,urn:cite:ap:figures.003@α[1],α,"urn:cite:ecod:codbod8.cb-0008_004v@0.6161,0.3477,0.015,0.0123",alpha
urn:cite:openpal:team#.30,urn:cite:ap:figures.003@θ[2],θ,"urn:cite:ecod:codbod8.cb-0008_004v@0.6487,0.3429,0.0163,0.0141",theta
urn:cite:openpal:team#.31,urn:cite:ap:figures.003@β[2],β,"urn:cite:ecod:codbod8.cb-0008_004v@0.6876,0.3458,0.0188,0.0179",beta
urn:cite:openpal:team#.32,urn:cite:ap:figures.003@η[1],η,"urn:cite:ecod:codbod8.cb-0008_004v@0.7302,0.3071,0.0188,0.0123",eta (?)
urn:cite:openpal:team#.33,urn:cite:ap:figures.003@μ[1],μ,"urn:cite:ecod:codbod8.cb-0008_004v@0.9321,0.3759,0.0188,0.0123",mu
urn:cite:openpal:team#.34,urn:cite:ap:figures.003@λ[1],λ,"urn:cite:ecod:codbod8.cb-0008_004v@0.729,0.3929,0.0138,0.0113",lambda
urn:cite:openpal:team#.35,urn:cite:ap:figures.004@α[1],α,"urn:cite:ecod:codbod8.cb-0008_005r@0.4163,0.3832,0.0125,0.0104",alpha
