figureUrn,imageReference,Label
urn:cite:ap:figures.007,"urn:cite:ecod:codbod8.cb-0008_006v@0.4384,0.5394,0.1892,0.1185",Unlabelled figure
urn:cite:ap:figures.001,"urn:cite:ecod:codbod8.cb-0008_003r@0.3864,0.5401,0.2362,0.1643",Unlabelled figure
urn:cite:ap:figures.009,"urn:cite:ecod:codbod8.cb-0008_007v@0.2613,0.4696,0.4394,0.1673",Unlabelled figure
urn:cite:ap:figures.002,"urn:cite:ecod:codbod8.cb-0008_003v@0.3944,0.5874,0.1772,0.1538",Unlabelled figure
urn:cite:ap:figures.003,"urn:cite:ecod:codbod8.cb-0008_004v@0.3453,0.2873,0.6056,0.1358",Unlabelled figure
urn:cite:ap:figures.004,"urn:cite:ecod:codbod8.cb-0008_005r@0.3247,0.3709,0.5632,0.1618",Unlabelled figure
urn:cite:ap:figures.010,"urn:cite:ecod:codbod8.cb-0008_008v@0.3754,0.5206,0.2803,0.1163",Unlabelled figure
urn:cite:ap:figures.011,"urn:cite:ecod:codbod8.cb-0008_010r@0.3834,0.4966,0.2092,0.2446",Unlabelled figure
urn:cite:ap:figures.005,"urn:cite:ecod:codbod8.cb-0008_005v@0.3423,0.2978,0.2623,0.1223",Unlabelled figure
urn:cite:ap:figures.006,"urn:cite:ecod:codbod8.cb-0008_006v@0.2392,0.1778,0.4254,0.1808",Unlabelled figure
urn:cite:ap:figures.008,"urn:cite:ecod:codbod8.cb-0008_007r@0.3564,0.4651,0.4254,0.1478",Unlabelled figure
urn:cite:ap:figures.012,"urn:cite:ecod:codbod8.cb-0008_011v@0.3253,0.5949,0.3133,0.3136",Unlabelled figure
urn:cite:ap:figures.013,"urn:cite:ecod:codbod8.cb-0008_013v@0.3654,0.1613,0.3253,0.2633",Unlabelled figure
urn:cite:ap:figures.018,"urn:cite:ecod:codbod8.cb-0008_019v@0.3233,0.18,0.3664,0.1455",Unlabelled figure
urn:cite:ap:figures.014,"urn:cite:ecod:codbod8.cb-0008_015v@0.2462,0.4201,0.4915,0.18",Unlabelled figure
urn:cite:ap:figures.015,"urn:cite:ecod:codbod8.cb-0008_017v@0.2162,0.5926,0.4635,0.1313",Unlabelled figure
urn:cite:ap:figures.023,"urn:cite:ecod:codbod8.cb-0008_023r@0.3574,0.1748,0.2763,0.2251",Unlabelled figure
urn:cite:ap:figures.016,"urn:cite:ecod:codbod8.cb-0008_018r@0.3233,0.5176,0.5546,0.2281",Unlabelled figure
urn:cite:ap:figures.027,"urn:cite:ecod:codbod8.cb-0008_026v@0.2683,0.5581,0.4484,0.2438",Unlabelled figure
urn:cite:ap:figures.017,"urn:cite:ecod:codbod8.cb-0008_018v@0.3163,0.5191,0.3924,0.1583",Unlabelled figure
urn:cite:ap:figures.019,"urn:cite:ecod:codbod8.cb-0008_020r@0.0601,0.4119,0.6346,0.1688",Unlabelled figure
urn:cite:ap:figures.030,"urn:cite:ecod:codbod8.cb-0008_029r@0.3113,0.4276,0.4144,0.2026",Unlabelled figure
urn:cite:ap:figures.020,"urn:cite:ecod:codbod8.cb-0008_021r@0.0931,0.2116,0.6727,0.147",Unlabelled figure
urn:cite:ap:figures.031,"urn:cite:ecod:codbod8.cb-0008_031r@0.041,0.4269,0.6156,0.2416",Unlabelled figure
urn:cite:ap:figures.021,"urn:cite:ecod:codbod8.cb-0008_021v@0.3253,0.6047,0.6507,0.2978",Unlabelled figure
urn:cite:ap:figures.022,"urn:cite:ecod:codbod8.cb-0008_022v@0.3423,0.2123,0.3233,0.2161",Unlabelled figure
urn:cite:ap:figures.024,"urn:cite:ecod:codbod8.cb-0008_023v@0.6416,0.5994,0.3173,0.2303",Unlabelled figure
urn:cite:ap:figures.025,"urn:cite:ecod:codbod8.cb-0008_025r@0.038,0.2191,0.6787,0.2333",Unlabelled figure
urn:cite:ap:figures.028,"urn:cite:ecod:codbod8.cb-0008_027v@0.2252,0.1283,0.5175,0.2063",Unlabelled figure
urn:cite:ap:figures.026,"urn:cite:ecod:codbod8.cb-0008_025v@0.1411,0.4809,0.6436,0.2266",Unlabelled figure
urn:cite:ap:figures.029,"urn:cite:ecod:codbod8.cb-0008_028v@0.4294,0.1223,0.2593,0.1875",Unlabelled figure
urn:cite:ap:figures.032,"urn:cite:ecod:codbod8.cb-0008_032r@0.0911,0.5652,0.5365,0.2555",Unlabelled figure
urn:cite:ap:figures.033,"urn:cite:ecod:codbod8.cb-0008_033v@0.3975,0.5823,0.5372,0.1526",Unlabelled figure
urn:cite:ap:figures.036,"urn:cite:ecod:codbod8.cb-0008_036r@0.2889,0.243,0.3521,0.2371",Unlabelled figure
urn:cite:ap:figures.039,"urn:cite:ecod:codbod8.cb-0008_038v@0.4005,0.5621,0.3248,0.1919",Unlabelled figure
urn:cite:ap:figures.034,"urn:cite:ecod:codbod8.cb-0008_035r@0.0787,0.3508,0.5482,0.1503",Unlabelled figure
urn:cite:ap:figures.037,"urn:cite:ecod:codbod8.cb-0008_037r@0.258,0.48,0.3645,0.2097",Unlabelled figure
urn:cite:ap:figures.040,"urn:cite:ecod:codbod8.cb-0008_040r@0.0833,0.3761,0.5247,0.1692",Unlabelled figure
urn:cite:ap:figures.035,"urn:cite:ecod:codbod8.cb-0008_035v@0.3992,0.2863,0.2994,0.1946",Unlabelled figure
urn:cite:ap:figures.038,"urn:cite:ecod:codbod8.cb-0008_038r@0.3142,0.3341,0.2979,0.2099",Unlabelled figure
urn:cite:ap:figures.041,"urn:cite:ecod:codbod8.cb-0008_041r@0.0951,0.6444,0.5235,0.2806",Unlabelled figure
urn:cite:ap:figures.042,"urn:cite:ecod:codbod8.cb-0008_042v@0.4064,0.4726,0.5325,0.4584",Unlabelled figure
